,year,month,day_of_week,hour_of_day,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day_period
0,2011,1,5,0,spring,0,0,1,9.84,14.395,81,0.0,3,13,16,night
1,2011,1,5,1,spring,0,0,1,9.02,13.635,80,0.0,8,32,40,night
2,2011,1,5,2,spring,0,0,1,9.02,13.635,80,0.0,5,27,32,night
3,2011,1,5,3,spring,0,0,1,9.84,14.395,75,0.0,3,10,13,night
4,2011,1,5,4,spring,0,0,1,9.84,14.395,75,0.0,0,1,1,night
5,2011,1,5,5,spring,0,0,2,9.84,12.88,75,6.0032,0,1,1,night
6,2011,1,5,6,spring,0,0,1,9.02,13.635,80,0.0,2,0,2,morning
7,2011,1,5,7,spring,0,0,1,8.2,12.88,86,0.0,1,2,3,morning
8,2011,1,5,8,spring,0,0,1,9.84,14.395,75,0.0,1,7,8,morning
9,2011,1,5,9,spring,0,0,1,13.12,17.425,76,0.0,8,6,14,morning
10,2011,1,5,10,spring,0,0,1,15.58,19.695,76,16.9979,12,24,36,morning
11,2011,1,5,11,spring,0,0,1,14.76,16.665,81,19.0012,26,30,56,morning
12,2011,1,5,12,spring,0,0,1,17.22,21.21,77,19.0012,29,55,84,afternoon
13,2011,1,5,13,spring,0,0,2,18.86,22.725,72,19.9995,47,47,94,afternoon
14,2011,1,5,14,spring,0,0,2,18.86,22.725,72,19.0012,35,71,106,afternoon
15,2011,1,5,15,spring,0,0,2,18.04,21.97,77,19.9995,40,70,110,afternoon
16,2011,1,5,16,spring,0,0,2,17.22,21.21,82,19.9995,41,52,93,afternoon
17,2011,1,5,17,spring,0,0,2,18.04,21.97,82,19.0012,15,52,67,afternoon
18,2011,1,5,18,spring,0,0,3,17.22,21.21,88,16.9979,9,26,35,evening
19,2011,1,5,19,spring,0,0,3,17.22,21.21,88,16.9979,6,31,37,evening
20,2011,1,5,20,spring,0,0,2,16.4,20.455,87,16.9979,11,25,36,evening
21,2011,1,5,21,spring,0,0,2,16.4,20.455,87,12.998,3,31,34,evening
22,2011,1,5,22,spring,0,0,2,16.4,20.455,94,15.0013,11,17,28,evening
23,2011,1,5,23,spring,0,0,2,18.86,22.725,88,19.9995,15,24,39,evening
24,2011,1,6,0,spring,0,0,2,18.86,22.725,88,19.9995,4,13,17,night
25,2011,1,6,1,spring,0,0,2,18.04,21.97,94,16.9979,1,16,17,night
26,2011,1,6,2,spring,0,0,2,17.22,21.21,100,19.0012,1,8,9,night
27,2011,1,6,3,spring,0,0,2,18.86,22.725,94,12.998,2,4,6,night
28,2011,1,6,4,spring,0,0,2,18.86,22.725,94,12.998,2,1,3,night
29,2011,1,6,6,spring,0,0,3,17.22,21.21,77,19.9995,0,2,2,morning
30,2011,1,6,7,spring,0,0,2,16.4,20.455,76,12.998,0,1,1,morning
31,2011,1,6,8,spring,0,0,3,16.4,20.455,71,15.0013,0,8,8,morning
32,2011,1,6,9,spring,0,0,2,15.58,19.695,76,15.0013,1,19,20,morning
33,2011,1,6,10,spring,0,0,2,14.76,17.425,81,15.0013,7,46,53,morning
34,2011,1,6,11,spring,0,0,2,14.76,16.665,71,16.9979,16,54,70,morning
35,2011,1,6,12,spring,0,0,2,14.76,16.665,66,19.9995,20,73,93,afternoon
36,2011,1,6,13,spring,0,0,2,14.76,17.425,66,8.9981,11,64,75,afternoon
37,2011,1,6,14,spring,0,0,3,14.76,17.425,76,12.998,4,55,59,afternoon
38,2011,1,6,15,spring,0,0,3,13.94,16.665,81,11.0014,19,55,74,afternoon
39,2011,1,6,16,spring,0,0,3,13.94,16.665,71,11.0014,9,67,76,afternoon
40,2011,1,6,17,spring,0,0,1,13.94,16.665,57,12.998,7,58,65,afternoon
41,2011,1,6,18,spring,0,0,2,14.76,16.665,46,22.0028,10,43,53,evening
42,2011,1,6,19,spring,0,0,1,13.12,14.395,42,30.0026,1,29,30,evening
43,2011,1,6,20,spring,0,0,1,12.3,13.635,39,23.9994,5,17,22,evening
44,2011,1,6,21,spring,0,0,1,10.66,11.365,44,22.0028,11,20,31,evening
45,2011,1,6,22,spring,0,0,1,9.84,10.605,44,19.9995,0,9,9,evening
46,2011,1,6,23,spring,0,0,1,9.02,11.365,47,11.0014,0,8,8,evening
47,2011,1,0,0,spring,0,1,1,9.02,9.85,44,23.9994,0,5,5,night
48,2011,1,0,1,spring,0,1,1,8.2,8.335,44,27.9993,0,2,2,night
49,2011,1,0,4,spring,0,1,1,6.56,6.82,47,26.0027,0,1,1,night
50,2011,1,0,5,spring,0,1,1,6.56,6.82,47,19.0012,0,3,3,night
51,2011,1,0,6,spring,0,1,1,5.74,5.305,50,26.0027,0,30,30,morning
52,2011,1,0,7,spring,0,1,1,5.74,6.82,50,12.998,1,63,64,morning
53,2011,1,0,8,spring,0,1,1,5.74,6.06,50,19.0012,1,153,154,morning
54,2011,1,0,9,spring,0,1,1,6.56,6.82,43,26.0027,7,81,88,morning
55,2011,1,0,10,spring,0,1,1,7.38,8.335,43,16.9979,11,33,44,morning
56,2011,1,0,11,spring,0,1,1,8.2,9.09,40,22.0028,10,41,51,morning
57,2011,1,0,12,spring,0,1,1,9.02,10.605,35,19.9995,13,48,61,afternoon
58,2011,1,0,13,spring,0,1,1,9.84,10.605,35,19.0012,8,53,61,afternoon
59,2011,1,0,14,spring,0,1,1,10.66,12.12,30,19.0012,11,66,77,afternoon
60,2011,1,0,15,spring,0,1,1,10.66,12.12,30,16.9979,14,58,72,afternoon
